variant,kind,seed,fold,target,R2,RMSE,delta
w/o attention sparsity reg.,component,2024,2,glass_adhesion_kpa,0.784079909324646,33.816120849335675,1.046392652748196e-06
w/o attention sparsity reg.,component,7,0,glass_adhesion_kpa,0.7684552669525146,33.61642221851453,1.046392652748196e-06
w/o attention sparsity reg.,component,7,1,glass_adhesion_kpa,0.7599304914474487,34.83587705337882,1.046392652748196e-06
w/o attention sparsity reg.,component,7,2,glass_adhesion_kpa,0.7658472061157227,38.695622443489164,1.046392652748196e-06
w/o FiLM conditioning,component,42,0,glass_adhesion_kpa,0.7639232277870178,36.41674506719488,0.0033870074484083634
w/o FiLM conditioning,component,42,1,glass_adhesion_kpa,0.7743252515792847,34.629866605761165,0.0033870074484083634
w/o FiLM conditioning,component,42,2,glass_adhesion_kpa,0.7712149620056152,35.24168958166326,0.0033870074484083634
w/o FiLM conditioning,component,2024,0,glass_adhesion_kpa,0.7208048701286316,39.59930376153648,0.0033870074484083634
w/o FiLM conditioning,component,2024,1,glass_adhesion_kpa,0.8373250961303711,29.765664985209362,0.0033870074484083634
w/o FiLM conditioning,component,2024,2,glass_adhesion_kpa,0.7728865146636963,34.681566215444334,0.0033870074484083634
w/o FiLM conditioning,component,7,0,glass_adhesion_kpa,0.710399329662323,37.59532480595992,0.0033870074484083634
w/o FiLM conditioning,component,7,1,glass_adhesion_kpa,0.7543025612831116,35.24183679303442,0.0033870074484083634
w/o FiLM conditioning,component,7,2,glass_adhesion_kpa,0.7804783582687378,37.46716824486556,0.0033870074484083634
w/o task-specific gating,component,42,0,glass_adhesion_kpa,0.7570715546607971,36.94142917448004,-0.0008165306515164339
w/o task-specific gating,component,42,1,glass_adhesion_kpa,0.7924636602401733,33.209047265956,-0.0008165306515164339
w/o task-specific gating,component,42,2,glass_adhesion_kpa,0.7787387371063232,34.65736831773205,-0.0008165306515164339
w/o task-specific gating,component,2024,0,glass_adhesion_kpa,0.7093383073806763,40.404295317182864,-0.0008165306515164339
w/o task-specific gating,component,2024,1,glass_adhesion_kpa,0.854167103767395,28.18273262934294,-0.0008165306515164339
w/o task-specific gating,component,2024,2,glass_adhesion_kpa,0.7838646769523621,33.83297092888829,-0.0008165306515164339
w/o task-specific gating,component,7,0,glass_adhesion_kpa,0.7564796805381775,34.474793002120585,-0.0008165306515164339
w/o task-specific gating,component,7,1,glass_adhesion_kpa,0.7605596780776978,34.790193215119004,-0.0008165306515164339
w/o task-specific gating,component,7,2,glass_adhesion_kpa,0.7308086156845093,41.489931654691084,-0.0008165306515164339
w/o residual blocks,component,42,0,glass_adhesion_kpa,0.7769203782081604,35.40009875957269,0.009163180987040165
w/o residual blocks,component,42,1,glass_adhesion_kpa,0.779583215713501,34.224072074710804,0.009163180987040165
w/o residual blocks,component,42,2,glass_adhesion_kpa,0.7713015079498291,35.23502459212725,0.009163180987040165
w/o residual blocks,component,2024,0,glass_adhesion_kpa,0.7341598272323608,38.64060446572443,0.009163180987040165
w/o residual blocks,component,2024,1,glass_adhesion_kpa,0.8147909641265869,31.76043289466077,0.009163180987040165
w/o residual blocks,component,2024,2,glass_adhesion_kpa,0.7476369142532349,36.55865030480987,0.009163180987040165
w/o residual blocks,component,7,0,glass_adhesion_kpa,0.7143510580062866,37.33794410934405,0.009163180987040165
w/o residual blocks,component,7,1,glass_adhesion_kpa,0.7567760944366455,35.06399527504585,0.009163180987040165
w/o residual blocks,component,7,2,glass_adhesion_kpa,0.7381546497344971,40.919901692112944,0.009163180987040165
w/o contrastive pre-training,component,42,0,glass_adhesion_kpa,0.7969138622283936,33.77650145857694,0.00265141990449691
w/o contrastive pre-training,component,42,1,glass_adhesion_kpa,0.7608211636543274,35.65091916219517,0.00265141990449691
w/o contrastive pre-training,component,42,2,glass_adhesion_kpa,0.7834833264350891,34.283770987524115,0.00265141990449691
w/o contrastive pre-training,component,2024,0,glass_adhesion_kpa,0.7102611064910889,40.340105313195295,0.00265141990449691
w/o contrastive pre-training,component,2024,1,glass_adhesion_kpa,0.8263348937034607,30.754706790117407,0.00265141990449691
w/o contrastive pre-training,component,2024,2,glass_adhesion_kpa,0.7795670032501221,34.16768449957503,0.00265141990449691
w/o contrastive pre-training,component,7,0,glass_adhesion_kpa,0.7401322722434998,35.613137073649696,0.00265141990449691
w/o contrastive pre-training,component,7,1,glass_adhesion_kpa,0.735938549041748,36.53513599412728,0.00265141990449691
w/o contrastive pre-training,component,7,2,glass_adhesion_kpa,0.7588282823562622,39.27130753747735,0.00265141990449691
w/o Mixup,component,42,0,glass_adhesion_kpa,0.7881135940551758,34.50055019658654,0.011487457487318276
w/o Mixup,component,42,1,glass_adhesion_kpa,0.7314387559890747,37.77730800361508,0.011487457487318276
w/o Mixup,component,42,2,glass_adhesion_kpa,0.7946460843086243,33.38830712591423,0.011487457487318276
w/o Mixup,component,2024,0,glass_adhesion_kpa,0.685585618019104,42.02278754261267,0.011487457487318276
w/o Mixup,component,2024,1,glass_adhesion_kpa,0.8460785746574402,28.95375425145945,0.011487457487318276
w/o Mixup,component,2024,2,glass_adhesion_kpa,0.7863937616348267,33.63444301361236,0.011487457487318276
w/o Mixup,component,7,0,glass_adhesion_kpa,0.758906364440918,34.302592419228134,0.011487457487318276
w/o Mixup,component,7,1,glass_adhesion_kpa,0.6831027865409851,40.02371885880999,0.011487457487318276
w/o Mixup,component,7,2,glass_adhesion_kpa,0.7384905815124512,40.8936430152964,0.011487457487318276
w/o SWA,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o SWA,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o SWA,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o SWA,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o SWA,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o SWA,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o SWA,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o SWA,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o SWA,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o uncertainty weighting,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o uncertainty weighting,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o uncertainty weighting,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o uncertainty weighting,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o uncertainty weighting,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o uncertainty weighting,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o uncertainty weighting,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o uncertainty weighting,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o uncertainty weighting,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o domain constraint,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o domain constraint,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o domain constraint,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o domain constraint,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o domain constraint,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o domain constraint,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o domain constraint,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o domain constraint,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o domain constraint,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o modality gate,component,42,0,glass_adhesion_kpa,0.7655442357063293,36.29150371901804,-0.008525590101877922
w/o modality gate,component,42,1,glass_adhesion_kpa,0.7945330739021301,33.04306457051067,-0.008525590101877922
w/o modality gate,component,42,2,glass_adhesion_kpa,0.7987776398658752,33.05072561786182,-0.008525590101877922
w/o modality gate,component,2024,0,glass_adhesion_kpa,0.7136908173561096,40.10063634353263,-0.008525590101877922
w/o modality gate,component,2024,1,glass_adhesion_kpa,0.8478741645812988,28.784372497896427,-0.008525590101877922
w/o modality gate,component,2024,2,glass_adhesion_kpa,0.7836229205131531,33.85188614113695,-0.008525590101877922
w/o modality gate,component,7,0,glass_adhesion_kpa,0.7397496104240417,35.63934915241597,-0.008525590101877922
w/o modality gate,component,7,1,glass_adhesion_kpa,0.7612953186035156,34.7367119940309,-0.008525590101877922
w/o modality gate,component,7,2,glass_adhesion_kpa,0.7877857685089111,36.838289459643754,-0.008525590101877922
w/o transformer block,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o transformer block,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o transformer block,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o transformer block,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o transformer block,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o transformer block,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o transformer block,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o transformer block,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o transformer block,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o SAM,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o SAM,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o SAM,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o SAM,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o SAM,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
