variant,kind,seed,fold,target,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
w/o FiLM conditioning,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o FiLM conditioning,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o FiLM conditioning,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o FiLM conditioning,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o FiLM conditioning,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o task-specific gating,component,42,0,glass_adhesion_kpa,0.5803694128990173,25.012834840103217,18.144407272338867,0.647788941860199,0.7637169361114502,0.7602045072261421,0.7552598359032092
w/o task-specific gating,component,42,1,glass_adhesion_kpa,0.6837339401245117,19.50270570421336,14.04389762878418,0.5623753666877747,0.8288414478302002,0.8406574329655012,0.8367298474955722
w/o task-specific gating,component,42,2,glass_adhesion_kpa,0.7355139255523682,17.894567490003688,13.004765510559082,0.5142820477485657,0.8633322715759277,0.8386890621684926,0.8771855593168385
w/o task-specific gating,component,2024,0,glass_adhesion_kpa,0.7799686193466187,17.443953218988234,12.670061111450195,0.4690750241279602,0.88456791639328,0.8666296193387054,0.8912296594713712
w/o task-specific gating,component,2024,1,glass_adhesion_kpa,0.7136421203613281,19.466893188691458,13.480189323425293,0.5351241230964661,0.862745463848114,0.8424123703559622,0.8381781711140766
w/o task-specific gating,component,2024,2,glass_adhesion_kpa,0.6565591096878052,20.262094159212587,15.245660781860352,0.58603835105896,0.8164587616920471,0.8396615680383539,0.8267215185422679
w/o residual blocks,component,42,0,glass_adhesion_kpa,0.5977122783660889,24.490506571105772,17.516115188598633,0.6342616081237793,0.7822661399841309,0.828058573772662,0.7909291928680204
w/o residual blocks,component,42,1,glass_adhesion_kpa,0.5492582321166992,23.282652537451302,16.04756736755371,0.6713730096817017,0.777758002281189,0.7607985890988108,0.790664837218276
w/o residual blocks,component,42,2,glass_adhesion_kpa,0.7710773944854736,16.648080966090824,12.6592435836792,0.47845858335494995,0.8795892596244812,0.8462468220714158,0.8860459747275526
w/o residual blocks,component,2024,0,glass_adhesion_kpa,0.7145047187805176,19.870191076288197,14.70833683013916,0.5343175530433655,0.8559527397155762,0.8549041400388998,0.8601660645420599
w/o residual blocks,component,2024,1,glass_adhesion_kpa,0.7177164554595947,19.327906318235414,13.63510799407959,0.5313035249710083,0.8731755018234253,0.8345489657510824,0.8479920706573006
