tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
external_single,HistGB,42,1,glass_adhesion_kpa,25,0.3331667776135585,51.049965989135835,42.25240484406835,0.8165985941886902,0.7525213851047966,0.7669230769230769,0.7515921499912567
external_single,MLP,42,1,glass_adhesion_kpa,25,0.5820211172103882,40.41699302515357,29.6038875579834,0.6465128660202026,0.7876223921775818,0.8284615384615385,0.7896014507417758
external_single,Mean,42,2,glass_adhesion_kpa,25,-1.0600290298461914,89.72707641613817,71.16488647460938,1.4352800846099854,,,0.0
external_single,Ridge,42,2,glass_adhesion_kpa,25,0.6189497709274292,38.59028324510589,27.828325271606445,0.6172927021980286,0.8338273167610168,0.8284615384615385,0.8312005869782603
external_single,ElasticNet,42,2,glass_adhesion_kpa,25,0.6144301891326904,38.81846585087599,28.004640579223633,0.6209427118301392,0.8311000466346741,0.8284615384615385,0.8289897797811612
external_single,KNN,42,2,glass_adhesion_kpa,25,0.45725408085272745,46.05588436864191,39.901002092717576,0.7367129325866699,0.8743459580213551,0.816923076923077,0.8326463607337194
external_single,SVR-RBF,42,2,glass_adhesion_kpa,25,0.630803883808078,37.98528634448586,30.07598616413761,0.6076151132583618,0.7988560784297848,0.7692307692307693,0.8077947870605114
external_single,RandomForest,42,2,glass_adhesion_kpa,25,0.4693411017640049,45.54016168716041,38.20441449700374,0.7284634113311768,0.8627778387763115,0.8223076923076923,0.8120993458546382
external_single,HistGB,42,2,glass_adhesion_kpa,25,0.4292691043115189,47.228324032039204,40.77956447273283,0.7554673552513123,0.8506067233707577,0.823619942144539,0.7941193144702982
external_single,MLP,42,2,glass_adhesion_kpa,25,0.5914782285690308,39.95714715039648,31.6517276763916,0.6391571164131165,0.8176791667938232,0.7769230769230768,0.8324971797299491
external_single,Mean,42,3,glass_adhesion_kpa,25,-1.1097185611724854,90.80277283589692,72.05966186523438,1.4524871110916138,0.0,0.0,0.0
external_single,Ridge,42,3,glass_adhesion_kpa,25,0.6703677177429199,35.89233575047743,25.5048828125,0.5741361379623413,0.8484179377555847,0.9061538461538461,0.8469070980868375
external_single,ElasticNet,42,3,glass_adhesion_kpa,25,0.6704028248786926,35.89042433008768,25.502492904663086,0.5741055607795715,0.8484523296356201,0.9061538461538461,0.8469357285037582
external_single,KNN,42,3,glass_adhesion_kpa,25,0.5186987861537291,43.370589101848736,36.51747363504484,0.6937587857246399,0.8748292444589785,0.816923076923077,0.8455576802490646
external_single,SVR-RBF,42,3,glass_adhesion_kpa,25,0.6152957000594587,38.77487112131141,31.26617414200562,0.6202453970909119,0.7893342587486318,0.826923076923077,0.7827474308344331
external_single,RandomForest,42,3,glass_adhesion_kpa,25,0.6548865058397985,36.72550811061641,29.17240874586602,0.5874636769294739,0.8705704092965205,0.8738461538461537,0.8708825142133693
external_single,HistGB,42,3,glass_adhesion_kpa,25,0.6762456926317759,35.57088088655942,26.232443501264125,0.5689941644668579,0.846159973577605,0.8361538461538461,0.8644918732141155
external_single,MLP,42,3,glass_adhesion_kpa,25,0.5423263311386108,42.29264241613502,31.98322105407715,0.6765158176422119,0.7640769481658936,0.7323076923076922,0.7845304078595842
external_single,Mean,42,4,glass_adhesion_kpa,25,-1.0929641723632812,90.44149794635895,71.7602310180664,1.446708083152771,0.0,0.0,0.0
external_single,Ridge,42,4,glass_adhesion_kpa,25,0.6523367166519165,36.86092819427842,26.542055130004883,0.5896298289299011,0.83155757188797,0.883076923076923,0.8361648115958137
external_single,ElasticNet,42,4,glass_adhesion_kpa,25,0.6517664194107056,36.89114946948234,26.56591796875,0.5901132225990295,0.8311346769332886,0.8823076923076922,0.8358037122654334
external_single,KNN,42,4,glass_adhesion_kpa,25,0.2665343467193477,53.539798637146546,42.291681632443314,0.8564261198043823,0.8076196873332601,0.7846153846153846,0.7647112025805882
external_single,SVR-RBF,42,4,glass_adhesion_kpa,25,0.6202843732633588,38.522643169963814,31.23173449256202,0.6162107586860657,0.7923134256946165,0.786923076923077,0.7825236410655395
external_single,RandomForest,42,4,glass_adhesion_kpa,25,0.5851632651523238,40.26479074014764,32.02109013081834,0.6440781950950623,0.8667404210592319,0.8330769230769232,0.8530242773195795
external_single,HistGB,42,4,glass_adhesion_kpa,25,0.493372433440616,44.49705322086409,36.83490842845144,0.7117778062820435,0.8292452407755184,0.8007692307692308,0.8116346396053146
external_single,MLP,42,4,glass_adhesion_kpa,25,0.5983397960662842,39.62016310186961,30.194276809692383,0.6337667107582092,0.7953807711601257,0.7092307692307692,0.8151781543247594
external_single,Mean,2024,0,glass_adhesion_kpa,25,-1.0781724452972412,90.12133747759184,71.49397277832031,1.4415868520736694,,,0.0
external_single,Ridge,2024,0,glass_adhesion_kpa,25,0.6271032094955444,38.17518629467069,26.637231826782227,0.6106528043746948,0.8345691561698914,0.8653846153846154,0.8316210107916984
external_single,ElasticNet,2024,0,glass_adhesion_kpa,25,0.6264113187789917,38.21058369162512,26.678537368774414,0.6112189888954163,0.8340067267417908,0.8638461538461538,0.8312391501817367
