tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC,TopK20,TopK30
baseline,HistGB,7,1,glass_adhesion_kpa,63,0.6785918205172665,44.98893246545823,32.49745108350255,0.5669287443161011,0.8255036610929721,0.8346294162826422,0.820377657201597,0.85,0.8
baseline,MLP,7,1,glass_adhesion_kpa,63,0.49366098642349243,56.46741619550938,41.36951446533203,0.7115749716758728,0.7322525382041931,0.6465533794162828,0.7425232041041898,0.75,0.7
baseline,Mean,7,2,glass_adhesion_kpa,63,-0.007590174674987793,69.36318170731862,56.768184661865234,1.003787875175476,,,0.0,0.05,0.3
baseline,Ridge,7,2,glass_adhesion_kpa,63,0.7796127200126648,32.43995918845209,24.714189529418945,0.46945422887802124,0.9029338359832764,0.8898169822748867,0.9102223249571256,0.85,0.8333333333333334
baseline,ElasticNet,7,2,glass_adhesion_kpa,63,0.7805906534194946,32.367906890689966,24.688615798950195,0.46841153502464294,0.9032795429229736,0.8898169822748867,0.910601713154381,0.85,0.8333333333333334
baseline,KNN,7,2,glass_adhesion_kpa,63,0.8206308853485024,29.265832313693654,22.557390791623085,0.42351990938186646,0.9077531076769509,0.8573897395295972,0.9218404095736173,0.9,0.8
baseline,SVR-RBF,7,2,glass_adhesion_kpa,63,0.8719020072689216,24.73194145962311,19.14737611098984,0.35790780186653137,0.9396304419356646,0.9406060612156953,0.9468843494532612,0.85,0.8666666666666667
baseline,RandomForest,7,2,glass_adhesion_kpa,63,0.8343459521000125,28.1247113551104,21.327787734175693,0.4070062041282654,0.91377029267215,0.8766876693350841,0.9252967667542668,0.9,0.8
baseline,HistGB,7,2,glass_adhesion_kpa,63,0.7818123604580404,32.27766572049512,25.14426147470402,0.46710556745529175,0.8860942247639124,0.847500750624298,0.8986186983999194,0.85,0.7666666666666667
baseline,MLP,7,2,glass_adhesion_kpa,63,0.7483247518539429,34.6662853904689,28.657543182373047,0.5016724467277527,0.8724576830863953,0.7175757580408397,0.8681233523529399,0.85,0.7666666666666667
baseline,Mean,7,3,glass_adhesion_kpa,63,-0.002144455909729004,80.08555605764687,61.045989990234375,1.0010716915130615,,,0.0,0.05,0.13333333333333333
baseline,Ridge,7,3,glass_adhesion_kpa,63,0.7349809408187866,41.18391368111766,30.828588485717773,0.5148000717163086,0.8629986643791199,0.8673675115207373,0.8504940802543741,0.8,0.8333333333333334
baseline,ElasticNet,7,3,glass_adhesion_kpa,63,0.7302150130271912,41.552573121382174,31.2127628326416,0.5194083452224731,0.86250239610672,0.8653033794162828,0.8433607124420617,0.8,0.8333333333333334
baseline,KNN,7,3,glass_adhesion_kpa,63,0.7533026794602247,39.73481838698187,24.53797461700986,0.49668630957603455,0.8702362569836308,0.8723598310291859,0.8817579833341387,0.75,0.8333333333333334
baseline,SVR-RBF,7,3,glass_adhesion_kpa,63,0.7629274285897379,38.95199190321787,26.926489304569238,0.4869009554386139,0.8747231639216049,0.8740879416282642,0.885366707946345,0.75,0.8666666666666667
baseline,RandomForest,7,3,glass_adhesion_kpa,63,0.7718793314440876,38.20949817935218,23.408849682721424,0.47761979699134827,0.8787499480949392,0.8855126728110599,0.8836861420573872,0.75,0.8333333333333334
baseline,HistGB,7,3,glass_adhesion_kpa,63,0.7223269187628021,42.155661237169866,25.07918771609211,0.5269469618797302,0.8519168676292322,0.8682315668202765,0.8602619503443126,0.75,0.8666666666666667
baseline,MLP,7,3,glass_adhesion_kpa,63,0.6917993426322937,44.412559753601094,34.31635284423828,0.5551581978797913,0.8398157954216003,0.7943068356374808,0.844479980789279,0.7,0.8
baseline,Mean,7,4,glass_adhesion_kpa,63,-0.0002071857452392578,69.85518991881527,58.70653533935547,1.0001035928726196,,,0.0,0.05,0.13333333333333333
baseline,Ridge,7,4,glass_adhesion_kpa,63,0.8147369623184204,30.06408864857758,23.607789993286133,0.4304218888282776,0.9090287089347839,0.9056259600614438,0.9167923963273926,0.75,0.9333333333333333
baseline,ElasticNet,7,4,glass_adhesion_kpa,63,0.8170014023780823,29.87979049261913,23.606224060058594,0.427783340215683,0.9104106426239014,0.9048579109062981,0.9172571188709142,0.75,0.9333333333333333
baseline,KNN,7,4,glass_adhesion_kpa,63,0.8165645447835084,29.91543579584221,23.41178135308433,0.4282936453819275,0.9165369921893265,0.9225710445468511,0.9229165377353775,0.75,0.9333333333333333
baseline,SVR-RBF,7,4,glass_adhesion_kpa,63,0.8387647809092895,28.04682140169971,19.833000523823866,0.4015410542488098,0.9181063033555616,0.9397081413210446,0.9311062647736437,0.75,0.9333333333333333
baseline,RandomForest,7,4,glass_adhesion_kpa,63,0.8106383484234722,30.39482934475645,21.298302911327692,0.43515703082084656,0.9017340762300348,0.9278513824884794,0.9078484669464842,0.7,0.9333333333333333
baseline,HistGB,7,4,glass_adhesion_kpa,63,0.7742039291631635,33.190353893133725,22.793488106727217,0.4751800298690796,0.8804494291178093,0.9047093284871324,0.8894113531268991,0.8,0.9
baseline,MLP,7,4,glass_adhesion_kpa,63,0.7567428350448608,34.44978370986166,27.039941787719727,0.4932110607624054,0.8785266280174255,0.8605030721966206,0.8894045668263422,0.75,0.8666666666666667
baseline,Mean,1337,0,glass_adhesion_kpa,64,-0.0010530948638916016,74.46629113649342,60.03462600708008,1.0005264282226562,,,0.0,0.1,0.23333333333333334
baseline,Ridge,1337,0,glass_adhesion_kpa,64,0.8446693420410156,29.333223284890632,23.043994903564453,0.39412015676498413,0.9197874665260315,0.9099816849816849,0.9333440792452745,0.85,0.8666666666666667
baseline,ElasticNet,1337,0,glass_adhesion_kpa,64,0.8447802066802979,29.32275419489477,23.004608154296875,0.3939794898033142,0.9197378158569336,0.9087454212454211,0.9331441980717213,0.85,0.8666666666666667
baseline,KNN,1337,0,glass_adhesion_kpa,64,0.8413437459341895,29.64556692020942,20.953374176275226,0.39831680059432983,0.9314885583701927,0.909661172161172,0.9405417320906496,0.9,0.8333333333333334
baseline,SVR-RBF,1337,0,glass_adhesion_kpa,64,0.8499810220242587,28.827319598897,21.576666269360153,0.3873228430747986,0.9230478698320947,0.8973901098901097,0.9346684836463875,0.8,0.8333333333333334
baseline,RandomForest,1337,0,glass_adhesion_kpa,64,0.8645703008675252,27.389753176055002,19.532722199896064,0.36800774931907654,0.9337070503692824,0.9185439560439559,0.9475678756731526,0.85,0.8333333333333334
baseline,HistGB,1337,0,glass_adhesion_kpa,64,0.8413608708224105,29.643966949496708,21.622775380124004,0.3982952833175659,0.9231598793914249,0.9112179487179486,0.9373694271470107,0.9,0.8
baseline,MLP,1337,0,glass_adhesion_kpa,64,0.7885076999664307,34.2277599439585,28.092670440673828,0.4598829746246338,0.8913205862045288,0.8391483516483514,0.9044399871672301,0.9,0.7666666666666667
baseline,Mean,1337,1,glass_adhesion_kpa,63,-0.013596177101135254,68.9497878327954,55.70241928100586,1.006775140762329,,,0.0,0.0,0.2
baseline,Ridge,1337,1,glass_adhesion_kpa,63,0.7736709117889404,32.58146715470507,25.47194480895996,0.47574055194854736,0.8889110088348389,0.8989535330261138,0.9027482925787023,0.85,0.9
baseline,ElasticNet,1337,1,glass_adhesion_kpa,63,0.7738746404647827,32.566799590178874,25.46833038330078,0.4755263924598694,0.8889885544776917,0.8989535330261138,0.9028265458442033,0.85,0.9
baseline,KNN,1337,1,glass_adhesion_kpa,63,0.8136555348208785,29.56369439526601,21.196112850942782,0.43167635798454285,0.9215195271616072,0.9460925499231951,0.92549725504385,0.85,0.9
baseline,SVR-RBF,1337,1,glass_adhesion_kpa,63,0.8285413052655258,28.358301266943858,19.798822192184755,0.41407573223114014,0.9138593169700199,0.9451324884792628,0.9278013573666258,0.9,0.9
baseline,RandomForest,1337,1,glass_adhesion_kpa,63,0.8155880445262209,29.40999778982666,20.784610773587307,0.4294321537017822,0.9091582222463892,0.9376440092165899,0.9186255194693507,0.85,0.9
baseline,HistGB,1337,1,glass_adhesion_kpa,63,0.7506331595337171,34.199503939277896,23.290918835878845,0.4993664622306824,0.8740451205548156,0.9302515360983103,0.8860489950906797,0.8,0.8666666666666667
baseline,MLP,1337,1,glass_adhesion_kpa,63,0.7942894697189331,31.06194981907124,23.351774215698242,0.4535532593727112,0.9003384709358215,0.9213709677419356,0.9120653651816211,0.85,0.8666666666666667
baseline,Mean,1337,2,glass_adhesion_kpa,63,-0.014733195304870605,63.031178343414894,52.21185302734375,1.007339596748352,,,0.0,0.05,0.16666666666666666
baseline,Ridge,1337,2,glass_adhesion_kpa,63,0.7277673482894897,32.64747564537915,24.410173416137695,0.5217592120170593,0.8582513332366943,0.8476585942004368,0.8709495730295996,0.9,0.8666666666666667
